資料集序號,資料集名稱,提供部會
792,食品追溯追蹤系統消費者查詢資料集,衛生福利部食品藥物管理署
793,市售食品調查蔬果農藥殘留資料集,衛生福利部食品藥物管理署
794,立法院議事與發言系統,立法院
795,議事公報管理系統,立法院
796,立法院會議預報查詢,立法院
797,中選會選舉資料庫,中選會
798,總統府新聞稿,總統府
799,行政院環境保護署相關新聞,行政院環保署
800,環保署發布環保相關新聞,行政院環保署
801,勞動力發展署發布新聞稿,勞動力發展署
802,臺灣金融控股股份有限公司網站新聞稿,臺灣金融控股股份有限公司
803,財政部各單位暨所屬機關各類新聞稿,財政部
804,經濟部各單位暨所屬機關新聞稿,經濟部
805,經濟部投資審議委員會委員會議新聞稿,經濟部
806,經濟部中小企業處-新聞稿,經濟部
807,經濟部能源局_新聞稿,經濟部
808,經濟部水利署最新消息,經濟部
809,台灣電力公司_新聞稿,台灣電力股份有限公司
810,交通部航港局_新聞稿,交通部航港局
811,交通新聞稿,交通部
812,交通部鐵路改建工程局新聞稿,交通部鐵路改建工程局
813,漁業署新聞稿,行政院農業委員會
814,中央銀行新聞稿,中央銀行
815,中央選舉委員會新聞稿,中央選舉委員會
816,外交部新聞稿,外交部
817,財團法人保險事業發展中心_新聞稿,金融監督管理委員會
818,保險安定基金新聞稿,金融監督管理委員會
819,國家通訊傳播委員會新聞稿,國家通訊傳播委員會
820,文化新聞稿,文化部
821,國家發展委員會新聞稿,國家發展委員會
822,最新景氣概況新聞稿,國家發展委員會
823,新竹市身心障礙福利機構名冊,新竹市政府
824,兒少安置教養機構設施名冊,新竹市政府
825,新竹市街友安置及餐食機構一覽表,新竹市政府
826,新竹市老人福利機構,新竹市政府
827,新竹市社區照顧關懷據點,新竹市政府
828,新竹市道路挖掘資訊,新竹市政府
829,新竹市道路鋪設柏油工程,新竹市政府
830,新竹市易塞車路段資訊,新竹市政府
831,自動氣象站 – 氣象觀測資料,交通部中央氣象局
832,警廣即時路況,內政部
833,交通服務e網通資料庫,交通部運輸研究所
834,臺灣地區一等三角點,內政部地政司
835,通用電子地圖,國土測繪中心
836,縣市界線,國土測繪中心
837,鄉鎮市區界線,國土測繪中心
838,村里界圖,國土測繪中心
839,台灣百年地圖,中央研究院
840,特有生物研究保育中心臉書社團路殺社資料集,行政院環境保護署
841,特生中心臉書社團植物調查資料集,行政院環境保護署
842,台灣植物基本資料,行政院環境保護署
843,台灣特有種動物清單資料集,行政院環境保護署
844,台灣特有種植物清單資料集,行政院環境保護署
845,TGOS門牌定位服務,內政部資訊中心
846,全國最小統計區圖,內政部統計處
847,全國一級發布區圖,內政部統計處
848,全國二級發布區圖,內政部統計處
849,公司解散登記清冊,經濟部商業司
850,商業歇業登記清冊,經濟部商業司
851,商業變更登記清冊,經濟部商業司
852,提供公告全臺特定水土保持區圖層,行政院農業委員會
853,土石流潛勢溪流影響範圍圖,行政院農業委員會
854,土石流潛勢溪流圖,行政院農業委員會
855,主要內容道路(橋梁)歷史災情資料,交通部公路總局
856,土壤液化潛勢圖,經濟部中央地質調所
857,流域地質圖－地層,經濟部中央地質調所
858,工程地質探勘資料點位圖,經濟部中央地質調所
859,河川揚塵監測資料,行政院環境保護署
860,水利署淹水警戒,國家災害防救科技中心
861,水利署水庫洩洪警戒,國家災害防救科技中心
862,水利署河川水位警戒,國家災害防救科技中心
863,中央氣象局颱風暴潮觀測,國家災害防救科技中心
864,中央氣象局颱風暴潮預報資料,國家災害防救科技中心
865,日累積雨量圖資料-小間距日累積雨量圖資料,交通部中央氣象局
866,日累積雨量圖資料-大間距日累積雨量圖資料,交通部中央氣象局
867,河川流域範圍圖,經濟部水利署
868,防災資訊_河川警戒,經濟部水利署
869,河川流量測站站況,經濟部水利署
870,河川水位測站站況,經濟部水利署
871,疏濬點位資料,經濟部水利署
872,水利事業歷史用地取得作業執行情形,經濟部水利署
873,2013年9月以後之水利署疏濬資訊,經濟部水利署
874,母嬰親善醫療院所認證通過名單,衛生福利部
875,醫療機構基本資料,衛生福利部
876,幼兒常規疫苗接種時間,衛生福利部
877,醫療院所提供6項預防保健服務名單,衛生福利部
878,藥品仿單或外盒資料集,衛生福利部
879,WHO健康促進醫院國際網絡會員名單,衛生福利部
880,兒童衛教指導服務補助方案特約院所名單,衛生福利部
881,健康促進醫院國際網絡會員名單,衛生福利部
882,衛生福利部評鑑合格之醫院名單,勞動部勞工保險局
883,103年度綜合所得稅申報初步核定統計專冊,財政部
884,各月人口資料-03鄉鎮戶數及人口數(9701),內政部戶政司
885,人口之年齡分配-單齡/五歲組,內政部戶政司
886,人口、密度及性比例,內政部戶政司
887,扶養比及老化指數,各縣市政府
888,人口之教育程度,各縣市政府
889,工商及服務業普查-工商及服務業場所單位年底從業員工人數及全年薪資,行政院主計總處
890,工商及服務業普查-工商及服務業場所單位數,行政院主計總處
891,工商及服務業普查-工商及服務業企業單位生產淨額,行政院主計總處
892,3+2碼郵遞區號CSV檔105/01,中華郵政
893,全國郵局ATM分佈,中華郵政
894,「ATM位置」查詢一覽表,中華郵政
895,工廠名錄,經濟部
896,各級學校名錄-104學年各級學校名錄及異動一覽表,教育部
897,全國4大超商資料集,教育部
898,健保特約醫療院所名冊壓縮檔,衛生福利部中央衛生保險署
899,OTOP特產表-特色商家,經濟部中小企業處
900,金融統計-金融基本資料本國銀行排名表,金融監督管理委員會
901,金融統計-金融基本資料外國銀行在臺分行排名表,金融監督管理委員會
902,金融統計-金融基本資料票券金融公司排名表,金融監督管理委員會
903,金融統計-金融基本資料信用合作社排名表,金融監督管理委員會
904,保險機構一覽表-本國財產保險公司,金融監督管理委員會
905,保險機構一覽表-外國財產保險公司,金融監督管理委員會
906,保險機構一覽表-本國人身保險公司,金融監督管理委員會
907,保險機構一覽表-外國人身保險公司,金融監督管理委員會
908,提供進口稅費繳納方式統計表,財政部關務署
909,提供稅費徵起率統計表,財政部關務署
910,報關業家數統計表,財政部關務署
911,關務署各關所轄承攬業者名冊,財政部關務署
912,機動調降貨品之關稅稅率品目表,財政部關務署
913,海關進出口貿易統計用計量單位代碼表,財政部關務署
914,海關從價課徵關稅之外幣折算匯率,財政部關務署
915,桃園國際機場即時航班,交通部桃園國際機場
916,全國路況資料,交通部運輸研究所
917,高雄港最近24小時船舶實際進/出港時間,交通部港務公司
918,旅外國人急難救助事件統計表,外交部領事事務局
919,旅遊警訊發布統計表,外交部領事事務局
920,桃園國際機場即時航班,桃園國際機場股份有限公司
921,台北松山機場即時航班,台北松山機場
922,高雄機場即時航班資訊,高雄國際航空站
923,國際及兩岸定期班表,交通部民用航空局
924,國際及兩岸定期航線班機載客率－按航線別分,交通部民用航空局
925,國藉航空公司班機準點率及不正常取消統計表,交通部民用航空局
926,獎補助要點,文化部
927,國際補助與申請時間,科技部
928,創業空間,經濟部中小企業處
929,輔導青年創業成果,經濟部中小企業處
930,微型創業鳳凰創業課程,勞動部勞動力發展署
931,微型創業鳳凰諮詢顧問名單,勞動部勞動力發展署
